n,parity,word2,T,T2,one_step,two_step,leftover,odd_odd
2,even,EO,1,1,1,1,0,0
3,odd,OO,5,11,0,0,1,1
4,even,EE,2,1,1,1,0,0
5,odd,OO,11,36,0,0,1,1
6,even,EE,2,1,1,1,0,0
7,odd,OE,18,4,0,1,0,0
8,even,EE,2,1,1,1,0,0
9,odd,OO,27,140,0,0,1,1
10,even,EO,3,5,1,1,0,0
11,odd,OE,36,6,0,1,0,0
12,even,EO,3,5,1,1,0,0
13,odd,OE,46,6,0,1,0,0
14,even,EO,3,5,1,1,0,0
15,odd,OE,58,7,0,1,0,0
16,even,EE,4,2,1,1,0,0
17,odd,OE,70,8,0,1,0,0
18,even,EE,4,2,1,1,0,0
19,odd,OE,82,9,0,1,0,0
20,even,EE,4,2,1,1,0,0
21,odd,OE,96,9,0,1,0,0
22,even,EE,4,2,1,1,0,0
23,odd,OE,110,10,0,1,0,0
24,even,EE,4,2,1,1,0,0
25,odd,OO,125,1397,0,0,1,1
26,even,EO,5,11,1,1,0,0
27,odd,OE,140,11,0,1,0,0
28,even,EO,5,11,1,1,0,0
29,odd,OE,156,12,0,1,0,0
30,even,EO,5,11,1,1,0,0
31,odd,OE,172,13,0,1,0,0
32,even,EO,5,11,1,1,0,0
33,odd,OO,189,2598,0,0,1,1
34,even,EO,5,11,1,1,0,0
35,odd,OO,207,2978,0,0,1,1
36,even,EE,6,2,1,1,0,0
37,odd,OO,225,3375,0,0,1,1
38,even,EE,6,2,1,1,0,0
39,odd,OO,243,3787,0,0,1,1
40,even,EE,6,2,1,1,0,0
41,odd,OE,262,16,0,1,0,0
42,even,EE,6,2,1,1,0,0
43,odd,OO,281,4710,0,0,1,1
44,even,EE,6,2,1,1,0,0
45,odd,OO,301,5222,0,0,1,1
46,even,EE,6,2,1,1,0,0
47,odd,OE,322,17,0,1,0,0
48,even,EE,6,2,1,1,0,0
49,odd,OO,343,6352,0,0,1,1
50,even,EO,7,18,1,1,0,0
51,odd,OE,364,19,0,1,0,0
52,even,EO,7,18,1,1,0,0
53,odd,OO,385,7554,0,0,1,1
54,even,EO,7,18,1,1,0,0
55,odd,OO,407,8210,0,0,1,1
56,even,EO,7,18,1,1,0,0
57,odd,OE,430,20,0,1,0,0
58,even,EO,7,18,1,1,0,0
59,odd,OO,453,9641,0,0,1,1
60,even,EO,7,18,1,1,0,0
61,odd,OE,476,21,0,1,0,0
62,even,EO,7,18,1,1,0,0
63,odd,OE,500,22,0,1,0,0
64,even,EE,8,2,1,1,0,0
65,odd,OE,524,22,0,1,0,0
66,even,EE,8,2,1,1,0,0
67,odd,OE,548,23,0,1,0,0
68,even,EE,8,2,1,1,0,0
69,odd,OO,573,13716,0,0,1,1
70,even,EE,8,2,1,1,0,0
71,odd,OE,598,24,0,1,0,0
72,even,EE,8,2,1,1,0,0
73,odd,OO,623,15550,0,0,1,1
